name,segment,offset,debug_type,file_offset,overlay_offset
TRACEON,0x10ec,0x9bdc,0x0084,0x1ae1c,0x2158c
TRBTAB,0x10ec,0x72d9,0x0085,0x18519,0x2159c
TSBTAB,0x10ec,0x72ab,0x0085,0x184eb,0x215c8
TUES,0x10ec,0x8c8a,0x0084,0x19eca,0x215d7
TYPEFAIL,0x0d0b,0x0d53,0x0066,0x0e183,0x215e1
TYPEFAIL2,0x0f0b,0x0e4c,0x0066,0x1027c,0x215ef
UNKNOWNINST,0x130b,0x104b,0x007f,0x1447b,0x21630
UNKNOWNMAC,0x10ec,0x0aac,0x0085,0x11cec,0x21644
WARNINGS,0x10ec,0x13c6,0x0085,0x12606,0x216a0
WARNSUP,0x10ec,0x13e7,0x0084,0x12627,0x216b1
WARNTXT,0x10ec,0x8a5a,0x0084,0x19c9a,0x216c1
WED,0x10ec,0x8c59,0x0084,0x19e99,0x216d1
WENOTENDBUF,0x040b,0x1033,0x0002,0x05463,0x21712
WEOK,0x160b,0x0942,0x0002,0x16d72,0x21731
WPUBNEXT,0x100b,0x0d32,0x0003,0x11162,0x21782
WPUBNEXT2,0x040b,0x0e54,0x0003,0x05284,0x21790
X,0x10ec,0x899a,0x0084,0x19bda,0x21812
YEARLP,0x030b,0x0b58,0x001d,0x03f88,0x21819
_186TXT,0x10ec,0x7be3,0x0084,0x18e23,0x21828
_286TXT,0x10ec,0x7be9,0x0084,0x18e29,0x21838
_386TXT,0x10ec,0x7bef,0x0084,0x18e2f,0x21848
_486TXT,0x10ec,0x7bf5,0x0084,0x18e35,0x21858
_86TXT,0x10ec,0x7bdb,0x0084,0x18e1b,0x21868
_DONEEND,0x100b,0x0d43,0x0049,0x11173,0x21884
_FR,0x0c0b,0x0844,0x0014,0x0cc74,0x218b8
_NOTSET,0x1a0b,0x0c45,0x0088,0x1b075,0x21959
